,Unnamed: 0,loan_status,Principal,terms,effective_date,due_date,age,education,Gender
0,0,PAIDOFF,1000,30,09-08-2016,10-07-2016,45,High School or Below,male
2,2,PAIDOFF,1000,30,09-08-2016,10-07-2016,33,Bechalor,female
3,3,PAIDOFF,1000,15,09-08-2016,9/22/2016,27,college,male
4,4,PAIDOFF,1000,30,09-09-2016,10-08-2016,28,college,female
6,6,PAIDOFF,1000,30,09-09-2016,10-08-2016,29,college,male
7,7,PAIDOFF,1000,30,09-09-2016,10-08-2016,36,college,male
8,8,PAIDOFF,1000,30,09-09-2016,10-08-2016,28,college,male
9,9,PAIDOFF,800,15,09-10-2016,9/24/2016,26,college,male
10,10,PAIDOFF,300,7,09-10-2016,9/16/2016,29,college,male
11,11,PAIDOFF,1000,15,09-10-2016,10-09-2016,39,High School or Below,male
12,12,PAIDOFF,1000,30,09-10-2016,10-09-2016,26,college,male
13,13,PAIDOFF,900,7,09-10-2016,9/16/2016,26,college,female
14,14,PAIDOFF,1000,7,09-10-2016,9/16/2016,27,High School or Below,male
15,15,PAIDOFF,800,15,09-10-2016,9/24/2016,26,college,male
16,16,PAIDOFF,1000,30,09-10-2016,10-09-2016,40,High School or Below,male
17,17,PAIDOFF,1000,15,09-10-2016,9/24/2016,32,High School or Below,male
18,18,PAIDOFF,1000,30,09-10-2016,10-09-2016,32,High School or Below,male
19,19,PAIDOFF,800,30,09-10-2016,10-09-2016,26,college,male
20,20,PAIDOFF,1000,30,09-10-2016,10-09-2016,26,college,male
